LooDefault,Study Number,Study Abbreviation,N Total,Cases, Controls,X Chromsome Analyzed,CaseControl_File
1,1,MRSC,2492,308,2184,X,mrsc_mrsc_eur_pcs.PHENO1.assoc.gz_XXX
1,1,MRSC (CVC),,,,X,mrsc_cvc_eur_pcs.PHENO1.assoc.gz_XXX
2,2,ONGA,212,115,97,X,onga_onga_eur_pcs.PHENO1.assoc.gz_XXX 
3,3,SAFR,,,,,
4,4,DNHS,,,,,
5,5,NHS2,1320,579,741,X,nhs2_nhs2_eur_pcs.PHENO1.assoc.gz_XXX
6,6,GSDC,1489,263,1226,X,gsdc_gsdc_eur_pcs.Case.assoc.gz_XXX
7,7,FSCD,532,111,421,X,fscd_fscd_eur_pcs.PHENO1.assoc.gz_XXX
8,8,COGA,990,54,936,X,coga_coga_eur_pcs.PHENO1.assoc.gz_XXX
8,9,COGB,822,48,774,X,cogb_cogb_eur_pcs.PHENO1.assoc.gz_XXX
10,10,BRYA,659,87,572,X,brya_brya_eur_pcs.Case.assoc.gz_XXX
11,11,SATU,104,75,29,X,minv_minv_eur_pcs.PHENO1.assoc.gz_XXX
11,12,DEFE,110,67,43,X,
13,13,NHRV,2194,155,2039,X,nhrv_gfk_eur_pcs.PHENO1.assoc.gz_XXX
13,13,NHRV (VAKN,,,,,nhrv_vakn_eur_pcs.PHENO1.assoc.gz_XXX
14,14,NSS1,4850,769,4081,X,nss1_nss1_eur_pcs.Case.assoc.gz_XXX
14,15,NSS2,1858,528,1330,X,nss2_nss2_eur_pcs.Case.assoc.gz_XXX
14,16,PPDS,4834,858,3976,X,nss1_ppds_eur_pcs.Case.assoc.gz_XXX
17,17,KSUD,214,121,93,X,pts1_pts1_eur_pcs.Case.assoc.gz_XXX
17,18,BOBA,136,72,64,X,
17,61,KMC2,83,26,57,X,
17,20,PORT,105,51,54,X,
21,21,GUTS,516,261,255,X,psy2_guts_eur_pcs.PHENO1.assoc.gz_XXX
5,22,NHSY,5263,2652,2611,X,psy2_nhsy_eur_pcs.PHENO1.assoc.gz_XXX
23,23,PROM,,,,,
24,24,VETS,1088,77,1011,X,ptsd_dx_vetsa_may12_2021_related_filtered.imputed.stats.logit.gz_XXX
25,25,PRIS,820,113,707,X,pris_pris_eur_pcs.PHENO1.assoc.gz_XXX
26,26,MIRE,823,418,405,,MIRE_eur_analysis1_mf.gz.maf01.gz_XXX
27,27,INTR,194,78,116,,INTr_eur_analysis1_mf.gz.maf01.gz_XXX
28,28,DAMI,2481,462,2019,,daner_psd_25July.gz.maf01.gz_XXX
30,30,QIMR,2122,325,1797,,pts_qimr_mix_nm.logscale.results.gz.maf01.gz_XXX
31,31,NCPT,461,299,162,,N800_eur_analysis1_mf.gz.maf01.gz_XXX
31,32,TRAC,197,148,49,,TRAC_eur_analysis1_mf.gz.maf01.gz_XXX
33,33,RING,180,35,145,X,ring_ring_eur_pcs.PHENO1.assoc.gz_XXX 
35,35,STRO,2246,320,1926,X,stro_stro_eur_pcs.Case.assoc.gz_XXX
10,36,BRY2,117,67,50,X,psy3_bry2_eur_pcs.PHENO1.assoc.gz_XXX 
37,37,FEEN,95,95,0,X,psy3_feen_eur_pcs.Case.assoc.gz_XXX
37,38,DCSR,48,48,0,X,
37,39,TEIC,297,40,257,X,
37,40,NIUT,89,53,36,X,psy3_niut_eur_pcs.PHENO1.assoc.gz_XXX 
37,41,NCMH,1137,563,574,X,psy3_ncmh_eur_pcs.PHENO1.assoc.gz_XXX 
37,42,EACR,298,67,231,X,psy3_eacr_eur_pcs.PHENO1.assoc.gz_XXX
4,43,WACH,112,56,56,X,meg2_wach_eur_pcs.PHENO1.assoc.gz_XXX 
4,44,EGHS,,,,,
4,45,ADNH,,,,,
4,47,GTPC,183,80,103,X,gtpc_gtpc_eur_pcs.PHENO1.assoc.gz_XXX
48,48,BETR,99,46,53,X,betr_betr_eur_pcs.Case.assoc.gz_XXX
49,49,SEEP,631,306,325,X,psy4_psy4_eur_pcs.Case.assoc.gz_XXX
50,50,COM1,164,71,93,X,comc_comc_eur_pcs.PHENO1.assoc.gz_XXX
52,52,FTCB,1039,85,954,X,ftca_ftcb_eur_pcs.Case.assoc.gz_XXX
54,54,GRAC,169,76,93,X,grac_grac_eur_pcs.PHENO1.assoc.gz_XXX
55,55,GMRF,207,100,107,X,gali_gali_eur_pcs.PHENO1.assoc.gz_XXX
1,56,YEHU,26,20,6,X,wrby_wrby_eur_pcs.Case.assoc.gz_XXX
1,57,BAKE,214,18,196,X,
1,58,VRIS,36,36,0,X,
1,59,WANG,156,102,54,X,
60,60,UKBB,135801,10913,124888,X,pcldx_ukbb_may13_2021_unrelated.bgen.stats.logit.gz_XXX
62,62,MEDE,,,,,
64,64,BRLS,106,25,81,X,psy5_psy5_eur_pcs.Case.assoc.gz_XXX
64,69,DSAS,37,1,36,X,
64,70,RCSS,121,7,114,X,
64,71,DELB,80,50,30,X,
4,74,EHVP,178,131,47,X,
65,65,MAMH,,,,,
73,73,AURO,229,179,50,X,auro_auro_eur_pcs.PHENO1.assoc.gz_XXX 
2,76,ONGB,419,22,397,X,ongb_ongb_eur_pcs.Case.assoc.gz_XXX
3,77,SAF2,,,,,
78,78,WTCS,1458,190,1268,X,test_wtc_dosage_HDS_SamClean_MAF.PHENO2.glm.logistic.frq.fuma2.gz_XXX
79,79,MVP1,186689,32372,154317,,dbGAP_CaseControl_eur.harmonized.gz_XXX
30,80,AGDS,10687,1570,9117,X,PTSDyn_AGDS_full_19052021.QIMRB.txt.gz_XXX
81,81,CANA,16480,807,15673,,clsa_1-23xm2_psd_dctoff_com_out_covars_c4_20210512.PSD_DCTOFF_COM.assoc.logistic.add.gz_XXX
30,82,QIM2,5210,197,5013,X,PTSDyn_others_full_19052021.QIMRB.txt.gz_XXX
83,83,RCOG,3510,522,2988,,PTSDdx.trauma_PTSDdx_oct2017EA.fuma.tbl.gz.fuma.se.gz_XXX
84,84,WTCM,218,62,156,,PGC_WTC.W.assoc.logistic.merged.gwas2.se.gz_XXX
28,85,DAI2,59112,22564,36548,X,daner_iPSYCH2015_PTSDbroad_chr1to22_HRC_MAF01.gz_XXX
86,86,BIOV,72824,6679,66145,X,ptsd_gwas_dosage_chr.all.PHENO2.glm.firth.additive.with.header.and.freqs.good.gz_XXX
87,87,MGBB,24824,5059,19765,,pbk_eur_ptsd_gwas_broad_share.txt.gz_XXX
88,88,HUNT,45674,3210,42464,X,HUNT_ptsd_pgc_allchr_filter_info_results.txt.gz.fuma.gz_XXX
89,89,SWED,9643,327,9316,X,SWE_STAGE_PTSD_saige_info_sumstats.gz_XXX
90,90,FING,259794,9801,249993,X,file_download_22122020_chia_yen_PTSD_broad_bothsex_july122021.gz.fuma.gz_XXX
60,91,UKB2,130744,9882,120862,X,PTSD_EHR_Broad_2020_12_10_ReGENIE_Step2_WG.txt.regenie.gz_XXX
92,92,BIOM,9582,318,9264,,PTSD_broad_EA_clean.head.assoc.logistic.merged.gwas2.se.gz_XXX
93,93,ESBB,197693,19723,177970,X,PTSD_broad_EstBB_GWAS_results.txt.noinfo.gz_XXX
94,94,MAYO,7257,1121,6136,X,ptsd_def2.ALL.pcAdj.MAF0.01.glm.logistic4.gz_XXX
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"a,b,c,d,e,f,g,h,I,j Matching letter indicates studies analyzed as a single unit.",,,,,,
