Group,StudyNumber,Abbr,Race,N,Case,Control,SexCHR
PGC2,20,PORT,AAM,2,1,1,X
PGC2,42,EACR,AAM,4,2,2,X
PGC2,58,VRIS,AAM,7,7,0,X
PGC2,71,DELB,AAM,8,4,4,X
PGC2,41,NCMH,AAM,12,7,5,X
PGC2,17,KSUD,AAM,13,8,5,X
PGC2,57,BAKE,AAM,17,1,16,X
PGC2,40,NIUT,AAM,18,7,11,X
PGC2,64,BRLS,AAM,22,6,16,X
PGC2,69,DSAS,AAM,28,3,25,X
PGC2,19,KMC2,AAM,40,24,16,X
PGC2,38,DCSR,AAM,44,44,0,X
PGC2,39,TEIC,AAM,45,2,43,X
PGC2,50,COM1,AAM,52,29,23,
PGC2,56,YEHU,AAM,58,35,23,X
PGC2,37,FEEN,AAM,68,68,0,X
PGC2,31,NCPT,AAM,72,40,32,X
PGC2,18,BOBA,AAM,84,46,38,X
PGC2,54,GRAC,AAM,85,52,33,
PGC2,59,WANG,AAM,88,69,19,X
PGC2,97,SAF2,AAM,96,45,51,X
PGC2,45,ADNH,AAM,97,50,47,X
PGC2,76,EHVP,AAM,102,87,15,X
PGC2,70,STAR,AAM,111,34,77,X
PGC2,43,WACH,AAM,150,80,70,X
PGC2,3,SAFR,AAM,200,69,131,X
PGC2,1,MRSC,AAM,206,17,189,X
PGC2,9,COGB,AAM,369,32,337,X
PGC2,15,NSS2,AAM,425,145,280,X
PGC2,73,AURO,AAM,460,354,106,
PGC2,44,EGHS,AAM,493,241,252,X
PGC2,7,FSCD,AAM,560,156,404,X
PGC2,4,DNHS,AAM,574,148,426,X
PGC2,35,STRO,AAM,616,98,518,X
PGC2,16,PPDS,AAM,919,107,812,X
PGC2,26,MIRE,AAM,1110,566,544,X
PGC2,14,NSS1,AAM,1435,219,"1,216",X
PGC2,94,RCOG,AAM,1468,177,"1,291",
PGC2,6,GSDC,AAM,2488,350,"2,138",X
PGC2,47,GTPC,AAM,4863,"1,494","3,369",
EHR,95,BIOM,AAM,8207,662,"7,545",
MVP,82,MVP1,AAM,25318,"5,974","19,344",
PGC2,56,YEHU,EUR,26,20,6,X
PGC2,58,VRIS,EUR,36,36,0,X
PGC2,69,DSAS,EUR,37,1,36,X
PGC2,38,DCSR,EUR,48,48,0,X
PGC2,71,DELB,EUR,80,50,30,X
PGC2,19,KMC2,EUR,83,26,57,X
PGC2,40,NIUT,EUR,89,53,36,X
